demand_iko,pv_profile
911.1130646,0
792.0680469,0
764.0213936,0
758.7243148,0
867.1751411,0
1158.479552,0
1790.170857,0
2490.110918,0
1679.271056,33.98544132
1488.6098,188.2165605
1615.46249,480.300273
1669.412028,364.4222019
1699.295832,135.8052775
1555.909154,250.1819836
1348.407226,255.5050046
1213.349212,20.06369427
1219.3198,0
1563.71686,0
1981.935648,0
2347.061786,0
2479.180762,0
2014.758489,0
1499.846641,0
1191.915797,0
940.0474667,0
819.1653654,0
786.0666316,0
755.5093513,0
835.944351,0
1096.936547,0
1698.315603,0
2321.556552,0
1647.121724,6.414922656
1446.815645,30.98271156
1559.890074,38.76251136
1600.06135,38.76251136
1622.596686,32.34758871
1447.979252,34.94085531
1232.669651,20.60964513
1101.285804,7.779799818
1130.220206,0
1511.359374,0
1934.170904,0
2275.414687,0
2389.162626,0
1912.339871,0
1385.946149,0
1072.044717,0
804.1017375,0
674.9526257,0
632.6684069,0
615.8893877,0
716.0732709,0
999.5699756,0
1621.616491,0
2312.830305,0
1658.603631,6.414922656
1474.372234,66.1965423
1601.684229,123.1119199
1664.819285,124.0673339
1702.051491,132.6660601
1566.472519,347.4977253
1365.859721,95.13193812
1242.742885,11.60145587
1257.439721,0
1611.940875,0
2034.752405,0
2356.706575,0
2489.284856,0
2028.536784,0
1534.751632,0
1260.347966,0
1005.264706,0
879.3305577,0
825.1051277,0
770.6654923,0
820.7882436,0
1062.031556,0
1651.010164,0
2337.631202,0
1676.515397,1.228389444
1489.987612,33.57597816
1618.218149,85.57779801
1676.301192,73.56687897
1708.940621,74.79526842
1565.553977,75.06824385
1356.674202,28.38944495
1220.697613,7.779799818
1229.883165,0
1585.302827,0
2006.277274,0
2348.898903,0
2481.936421,0
2024.86255,0
1534.292361,0
1242.895471,0
969.9004442,0
829.7286967,0
785.1480898,0
749.0794916,0
826.2995615,0
1088.210299,0
1690.967202,0
2375.291851,0
1704.990529,2.593266606
1512.492155,12.96633303
1640.722691,46.54231119
1699.265005,36.16924476
1724.555999,20.60964513
1565.553977,18.01637853
1354.377814,20.60964513
1239.987226,6.414922656
1267.543815,0
1627.096982,0
2044.397194,0
2340.631926,0
2456.216949,0
1979.394228,0
1455.756131,0
1141.395428,0
