,pv,el,ev,dam_price
2024-01-01 00:00:00,0.0,0.2167299868760363,0.1987577639402886,39.91
2024-01-01 01:00:00,0.0,0.20053278590735069,0.28260869550772644,25.28
2024-01-01 02:00:00,0.0,0.1861352739351857,0.1397515528797071,-0.05
2024-01-01 03:00:00,0.0,0.1861352739351857,0.08385093168199959,22.4
2024-01-01 04:00:00,0.0,0.20053278590735069,0.05590062108314578,-0.09
2024-01-01 05:00:00,0.0,0.3195945639461433,0.05590062096858401,-0.04
2024-01-01 06:00:00,0.0,0.6759672481023401,0.0527950311057101,14.91
2024-01-01 07:00:00,0.0,0.27555468571393993,0.08385093179656132,-44.9
2024-01-01 08:00:00,0.0249,0.15832626439091854,0.12732919253462957,-0.07
2024-01-01 09:00:00,0.1379,0.15832626439091854,0.14906832294948838,-14.92
2024-01-01 10:00:00,0.3519,0.14212906342223292,0.19875776396320097,-17.44
2024-01-01 11:00:00,0.267,0.14212906342223292,0.33850931672834633,8.89
2024-01-01 12:00:00,0.0995,0.6136314740606998,0.5714285714285714,-7.2
2024-01-01 13:00:00,0.18330000000000002,0.23056246080092435,0.5124223601388663,-19.9
2024-01-01 14:00:00,0.18719999999999998,0.14212906342223292,0.31055900612949255,12.18
2024-01-01 15:00:00,0.0147,0.16912439837004226,0.28260869553063883,-0.07
2024-01-01 16:00:00,0.0,0.2771057380715881,0.3975155278805773,-0.01
2024-01-01 17:00:00,0.0,0.4195298054355898,0.7422360248845677,7.59
2024-01-01 18:00:00,0.0,0.856589488590984,0.9999999999999999,77.41
2024-01-01 19:00:00,0.0,0.9830617506209824,0.9472049688942896,30.09
2024-01-01 20:00:00,0.0,0.4953107445443538,0.7732919253462956,30.07
2024-01-01 21:00:00,0.0,0.4869656406225612,0.5155279502308638,79.9
2024-01-01 22:00:00,0.0,0.39698119079653005,0.34161490668286976,79.91
2024-01-01 23:00:00,0.0,0.2617222119011663,0.28260869539316463,74.9
2024-01-02 00:00:00,0.0,0.2167299868760363,0.1987577639402886,74.93
2024-01-02 01:00:00,0.0,0.20053278590735069,0.28260869550772644,67.42
2024-01-02 02:00:00,0.0,0.1861352739351857,0.1397515528797071,42.88
2024-01-02 03:00:00,0.0,0.1861352739351857,0.08385093168199959,30.18
2024-01-02 04:00:00,0.0,0.20053278590735069,0.05590062108314578,2.57
2024-01-02 05:00:00,0.0,0.3195945639461433,0.05590062096858401,-24.98
2024-01-02 06:00:00,0.0,0.6759672481023401,0.0527950311057101,-4.9
2024-01-02 07:00:00,0.0,0.27555468571393993,0.08385093179656132,54.94
2024-01-02 08:00:00,0.0047,0.15832626439091854,0.12732919253462957,20.1
2024-01-02 09:00:00,0.022699999999999998,0.15832626439091854,0.14906832294948838,84.9
2024-01-02 10:00:00,0.028399999999999998,0.14212906342223292,0.19875776396320097,74.98
2024-01-02 11:00:00,0.028399999999999998,0.14212906342223292,0.33850931672834633,89.95
2024-01-02 12:00:00,0.0237,0.6136314740606998,0.5714285714285714,89.9
2024-01-02 13:00:00,0.0256,0.23056246080092435,0.5124223601388663,69.88
2024-01-02 14:00:00,0.015099999999999999,0.14212906342223292,0.31055900612949255,82.43
2024-01-02 15:00:00,0.0057,0.16912439837004226,0.28260869553063883,65.55
2024-01-02 16:00:00,0.0,0.2771057380715881,0.3975155278805773,79.93
2024-01-02 17:00:00,0.0,0.4195298054355898,0.7422360248845677,71.68
2024-01-02 18:00:00,0.0,0.856589488590984,0.9999999999999999,99.94
2024-01-02 19:00:00,0.0,0.9830617506209824,0.9472049688942896,104.93
2024-01-02 20:00:00,0.0,0.4953107445443538,0.7732919253462956,129.97
2024-01-02 21:00:00,0.0,0.4869656406225612,0.5155279502308638,97.43
2024-01-02 22:00:00,0.0,0.39698119079653005,0.34161490668286976,119.97
2024-01-02 23:00:00,0.0,0.2617222119011663,0.28260869539316463,87.44
2024-01-03 00:00:00,0.0,0.2167299868760363,0.1987577639402886,44.91
2024-01-03 01:00:00,0.0,0.20053278590735069,0.28260869550772644,14.43
2024-01-03 02:00:00,0.0,0.1861352739351857,0.1397515528797071,2.09
2024-01-03 03:00:00,0.0,0.1861352739351857,0.08385093168199959,-0.04
2024-01-03 04:00:00,0.0,0.20053278590735069,0.05590062108314578,-0.08
2024-01-03 05:00:00,0.0,0.3195945639461433,0.05590062096858401,-24.98
2024-01-03 06:00:00,0.0,0.6759672481023401,0.0527950311057101,-29.92
2024-01-03 07:00:00,0.0,0.27555468571393993,0.08385093179656132,6.68
2024-01-03 08:00:00,0.0047,0.15832626439091854,0.12732919253462957,34.29
2024-01-03 09:00:00,0.0485,0.15832626439091854,0.14906832294948838,50.09
2024-01-03 10:00:00,0.0902,0.14212906342223292,0.19875776396320097,54.9
2024-01-03 11:00:00,0.09090000000000001,0.14212906342223292,0.33850931672834633,20.1
2024-01-03 12:00:00,0.09720000000000001,0.6136314740606998,0.5714285714285714,52.41
2024-01-03 13:00:00,0.2546,0.23056246080092435,0.5124223601388663,49.92
2024-01-03 14:00:00,0.0697,0.14212906342223292,0.31055900612949255,42.41
2024-01-03 15:00:00,0.0085,0.16912439837004226,0.28260869553063883,44.91
2024-01-03 16:00:00,0.0,0.2771057380715881,0.3975155278805773,59.06
2024-01-03 17:00:00,0.0,0.4195298054355898,0.7422360248845677,74.9
2024-01-03 18:00:00,0.0,0.856589488590984,0.9999999999999999,84.92
2024-01-03 19:00:00,0.0,0.9830617506209824,0.9472049688942896,92.43
2024-01-03 20:00:00,0.0,0.4953107445443538,0.7732919253462956,114.93
